# wave, flux, fluxerr, csub, csuberr, spline_flux
6.637158393859863281e+00,2.739673101521487908e+00,1.565775532228577682e-01,-8.881784197001252323e-16,1.565775532228577682e-01,2.739673101521488796e+00
6.668143749237060547e+00,3.977644626637517167e+00,1.410301942189903235e-01,1.218534192092867841e+00,1.410301942189903235e-01,2.759110434544649326e+00
6.699129104614257812e+00,3.783630766497335873e+00,1.443097532207538447e-01,1.000348109604183300e+00,1.443097532207538447e-01,2.783282656893152573e+00
6.730114459991455078e+00,3.236837877947654540e+00,1.496851406929603778e-01,4.249102092911787310e-01,1.496851406929603778e-01,2.811927668656475809e+00
6.761099815368652344e+00,2.877805655577139632e+00,1.686216316489527467e-01,3.302228565304110575e-02,1.686216316489527467e-01,2.844783369924098526e+00
6.792085170745849609e+00,3.061259961632831317e+00,1.767208891115585878e-01,1.796723008473311012e-01,1.767208891115585878e-01,2.881587660785500216e+00
6.823070526123046875e+00,3.163923882862553771e+00,1.862118415605583388e-01,2.418454415323956219e-01,1.862118415605583388e-01,2.922078441330158149e+00
6.854055881500244141e+00,3.444010871449191935e+00,2.041201050891004176e-01,4.780172598016396712e-01,2.041201050891004176e-01,2.965993611647552264e+00
6.885041236877441406e+00,4.125583764638062867e+00,2.320756129711723792e-01,1.112512692810901704e+00,2.320756129711723792e-01,3.013071071827161163e+00
6.916027069091796875e+00,3.488314329261456237e+00,2.097191216848724449e-01,4.252648172197579512e-01,2.097191216848724449e-01,3.063049512041698286e+00
6.947011947631835938e+00,3.516812413387777170e+00,2.037348183244159505e-01,4.011479512568412176e-01,2.037348183244159505e-01,3.115664462130935952e+00
6.977997779846191406e+00,4.502510866741814333e+00,1.950587528293449557e-01,1.331853811095816020e+00,1.950587528293449557e-01,3.170657055645998312e+00
7.008982658386230469e+00,3.880982336292526647e+00,1.957364487550662668e-01,6.532205233352144091e-01,1.957364487550662668e-01,3.227761812957312237e+00
7.039968490600585938e+00,3.367329151612985516e+00,1.829260767987861691e-01,8.060900761611256016e-02,1.829260767987861691e-01,3.286720143996872956e+00
7.070953845977783203e+00,3.657294104265955692e+00,1.810597702246040108e-01,3.100268365899823131e-01,1.810597702246040108e-01,3.347267267675973379e+00
7.101939201354980469e+00,3.564986896990380849e+00,1.786142631236085909e-01,1.558449191802271372e-01,1.786142631236085909e-01,3.409141977810153712e+00
